,src,dest,overlap,distance,total_border,greatest_border,nb_border
4,466356,488051,0,0.0,1327.454465940547,1327.454465940547,1
5,466356,502229,0,0.0,288.9394187374643,288.9394187374643,1
0,466357,465682,0,0.0,1905.3227960836282,1905.3227960836282,1
1,466357,465929,0,0.0,154.1252312363667,154.1252312363667,1
2,466357,597183,0,0.0,5729.894886817983,5729.894886817983,1
0,466358,464627,0,0.0,5233.7030614218675,5233.7030614218675,1
1,466358,465694,0,0.0,707.6280972210557,707.6280972210557,1
2,466358,473698,0,0.0,573.2112320677586,573.2112320677586,1
3,466358,597183,0,0.0,3875.1395216403353,3875.1395216403353,1
0,466359,466741,0,0.0,1000.4229649660201,1000.4229649660201,1
1,466359,597182,0,0.0,8232.578439993456,8232.578439993456,1
2,466359,597247,0,0.0,1193.393967323911,1193.393967323911,1
0,466360,465681,0,0.0,635.3666182362518,635.3666182362518,1
1,466360,473701,0,0.0,776.9950809975526,776.9950809975526,1
2,466360,597182,0,0.0,468.0846073944707,468.0846073944707,1
3,466360,597383,0,0.0,1666.648390282135,1666.648390282135,1
0,466361,464565,0,0.0,133.56884217549407,133.56884217549407,1
1,466361,465686,0,0.0,104.8209998050358,104.8209998050358,1
2,466361,466742,0,0.0,313.0327250722105,313.0327250722105,1
3,466361,488059,0,0.0,539.3708267965923,539.3708267965923,1
4,466361,488078,0,0.0,165.53809984237262,165.53809984237262,1
5,466361,502229,0,0.0,419.93599088262545,419.93599088262545,1
6,466361,597183,0,0.0,1655.726994436433,1655.726994436433,1
0,466362,464606,0,0.0,2028.1987133277416,1354.8505946007288,2
1,466362,473689,0,0.0,1369.6210983924782,1369.6210983924782,1
2,466362,473696,0,0.0,2112.0007736986545,2112.0007736986545,1
3,466362,597247,0,0.0,425.98030835873806,425.98030835873806,1
0,466364,597183,0,0.0,4409.022657384194,4409.022657384194,1
0,466366,465706,0,0.0,2538.7531179247644,2538.7531179247644,1
1,466366,502261,0,0.0,143.6868650924047,143.6868650924047,1
2,466366,597183,0,0.0,4565.725551881153,4565.725551881153,1
3,466366,597227,0,0.0,1080.4543257921175,1080.4543257921175,1
0,466367,597183,0,0.0,2320.943896172211,2320.943896172211,1
0,466368,465711,0,0.0,952.0115719665811,952.0115719665811,1
1,466368,597183,0,0.0,3827.652475404849,3827.652475404849,1
0,466369,465736,0,0.0,1291.5153340346362,1291.5153340346362,1
1,466369,597182,0,0.0,3332.664328594052,3332.664328594052,1
0,466370,465734,0,0.0,2229.7680010331105,2229.7680010331105,1
1,466370,597183,0,0.0,1952.5692065924804,1038.9307375582025,2
2,466370,597286,0,0.0,343.71417285893193,343.71417285893193,1
0,466371,465734,0,0.0,899.138845202757,899.138845202757,1
1,466371,597183,0,0.0,1535.275111345112,1535.275111345112,1
0,466372,465736,0,0.0,793.0179973676167,687.4648022476979,2
1,466372,466768,0,0.0,497.3442640540222,497.3442640540222,1
2,466372,597182,0,0.0,1972.096418592607,1972.096418592607,1
0,466373,466774,0,0.0,895.9511904926451,895.9511904926451,1
1,466373,473839,0,0.0,402.75667535640264,402.75667535640264,1
2,466373,597182,0,0.0,5676.774934058683,5676.774934058683,1
0,466374,597183,0,0.0,2125.6154577261545,2125.6154577261545,1
0,466375,597183,0,0.0,2280.2321266963804,2280.2321266963804,1
0,466376,597183,0,0.0,5404.857172255246,5404.857172255246,1
0,466377,597182,0,0.0,2990.8739627386917,2990.8739627386917,1
0,466735,488008,0,0.0,1103.98749523924,1103.98749523924,1
1,466735,512677,0,0.0,667.1795203482103,667.1795203482103,1
2,466735,597182,0,0.0,1400.9640407744876,1400.9640407744876,1
3,466735,597383,0,0.0,911.5310718699991,911.5310718699991,1
0,466738,465681,0,0.0,626.0088973952668,626.0088973952668,1
1,466738,466351,0,0.0,604.7478417026916,604.7478417026916,1
2,466738,512681,0,0.0,124.58084925119132,124.58084925119132,1
3,466738,597182,0,0.0,1842.1352349694027,1842.1352349694027,1
4,466738,597383,0,0.0,632.9448497980809,632.9448497980809,1
0,466741,465677,0,0.0,599.8614192466221,599.8614192466221,1
1,466741,466359,0,0.0,1000.4229649660201,1000.4229649660201,1
2,466741,597182,0,0.0,348.34654081853887,348.34654081853887,1
3,466741,597247,0,0.0,833.6908391295212,833.6908391295212,1
0,466742,464565,0,0.0,1166.2477730854062,1166.2477730854062,1
1,466742,465683,0,0.0,590.347675074891,590.347675074891,1
2,466742,466361,0,0.0,313.0327250722105,313.0327250722105,1
3,466742,488059,0,0.0,1000.4257912735218,1000.4257912735218,1
0,466745,465690,0,0.0,391.637736943411,391.637736943411,1
1,466745,473711,0,0.0,1537.4104295838195,1537.4104295838195,1
2,466745,597183,0,0.0,677.6552037642026,677.6552037642026,1
0,466748,464627,0,0.0,1923.4556418641241,1136.494203781357,2
1,466748,481777,0,0.0,172.43827819673334,172.43827819673334,1
0,466749,493448,0,0.0,74.62653281526121,74.62653281526121,1
1,466749,597182,0,0.0,1534.3244889125576,1534.3244889125576,1
2,466749,597247,0,0.0,2268.1713843462867,2268.1713843462867,1
0,466750,465992,0,0.0,1288.3584145024615,1288.3584145024615,1
1,466750,597183,0,0.0,1150.452347092269,1150.452347092269,1
